Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,commentary_line,world_cup_year,host_country
0,3,2011-02-21, Ahmedabad,League-Match,AUS,ZIM,262.0,6.0,171.0,0.0,Australia won by 91 runs,Shane Watson,"['SR Watson - 79 runs ', 'MJ Clarke - 58 runs ']","['MG Johnson - 4', 'JJ Krejza - 2']",The presentation ceremony is about to begin.,2011,India
1,48,2011-04-02, Wankhede,Final,SL,IND,274.0,6.0,277.0,4.0,India won by 6 wickets (with 10 balls remaining),MS Dhoni,"['DPMD Jayawardene - 103 runs ', 'G Gambhir - 97 runs ']","['SL Malinga - 2', 'Yuvraj Singh - 2']","Now Yusuf Pathan and Raina carry Tendulkar. The whole team is behind them, with them. At the back, are the support staff: Gary Kirsten, Eric Simons and the whole lot. Zaheer takes time out to rush to them and he walks with them. Out in the front, Tendulkar is still being lifted and carried by his admiring team-mates. Sehwag puts a hand around Dhoni and Gambhir. And now finally, Tendulkar gets down to the ground. He immediately spreads the Indian flag.",2011,India
2,28,2011-03-12, Nagpur,League-Match,IND,SA,296.0,0.0,300.0,7.0,South Africa won by 3 wickets (with 2 balls remaining),Dale Steyn,"['SR Tendulkar - 111 runs ', 'V Sehwag - 73 runs ']","['DW Steyn - 5', 'Harbhajan Singh - 3']","Robin Peterson: ""I'm extremely ecstatic at the moment. To have a great game with so many great innings was such a good advert for the world cup. I've got to give Johan [Botha] credit, he put them under pressure with that cameo. We were quite calm in the changing room, but it was nice to come out on the winning side!""",2011,India
3,40,2011-03-20, Eden Gardens,League-Match,ZIM,KENYA,308.0,6.0,147.0,0.0,Zimbabwe won by 161 runs,Craig Ervine,"['CR Ervine - 66 runs ', 'V Sibanda - 61 runs ']","['RW Price - 2', 'GA Lamb - 2']","Steve Tikolo: ""We are disappointed. We wanted to put up a good performance. No meaningful partnerships. If the younger guys can take the positives that will be a good thing. I have enjoyed every moment of my career, there have been ups and downs. Lot of pride in playing for the country, each time I have walked out. Looking at coaching jobs, maybe back home, I am playing for Southern Rocks in Zimbabwe.""",2011,India
6,42,2011-03-23, Mirpur,Final,WI,PAK,112.0,0.0,113.0,0.0,Pakistan won by 10 wickets (with 175 balls remaining),Mohammad Hafeez,"['Mohammad Hafeez - 61 runs ', 'Kamran Akmal - 47 runs ']","['Shahid Afridi - 4', 'Mohammad Hafeez - 2']","'Clinical Pakistan storm into semi-final' is the headline of Andrew McGlashan's match report, and rightly so. This is among the most one-sided quarter-finals you will ever see. It was literally a 'knockout' match and West Indies are down and out.",2011,Bangladesh
12,45,2011-03-26, Colombo (RPS),Final,ENG,SL,229.0,6.0,231.0,0.0,Sri Lanka won by 10 wickets (with 63 balls remaining),Tillakaratne Dilshan,"['TM Dilshan - 108 runs ', 'WU Tharanga - 102 runs ']","['M Muralidaran - 2', 'BAW Mendis - 1']","Kumar Sangakkara ""Losing the toss it was an important we started well with the ball. Dilshan did that, then later came together with Tharanga and reminded us of Headingley [in 2006]. The guys fought hard, especially fielding first, and they kept up the pressure. It's been a fantastic crowd, hopefully they've enjoyed the cricket. Murali has pulled up a bit stiff but I'm sure he'll be fit for the next game. We can't get too far ahead of ourselves, we just have to keep our heads down.""",2011,Sri Lanka
15,43,2011-03-24, Ahmedabad,Final,AUS,IND,260.0,6.0,261.0,5.0,India won by 5 wickets (with 14 balls remaining),Yuvraj Singh,"['RT Ponting - 104 runs ', 'Yuvraj Singh - 57 runs ']","['Yuvraj Singh - 2', 'R Ashwin - 2']","After hurtling through the group stages unconvincingly, India have put up their best performance of the World Cup against the defending champions. This was by no means a flawless show, the mid-innings freeze and the mad running will have to be addressed. The pressure will be more in the semis, where Afridi's boys will be waiting. But, for the first time in the World Cup, India looked like a side that's deserving of the title.",2011,India
16,7,2011-02-25, Nagpur,League-Match,NZ,AUS,206.0,0.0,207.0,3.0,Australia won by 7 wickets (with 96 balls remaining),Mitchell Johnson,"['SR Watson - 62 runs ', 'BJ Haddin - 55 runs ']","['MG Johnson - 4', 'SW Tait - 3']","Ponting: ""Good game for us today. NZ are a very good one-day side, good win for us. We said right at the start of the tournament, if our fast bowlers bowl as well as they can, it can't matter who we play. They could have actually been better with the new ball. The fact that they took wickets early meant I did not have to fall back on Watson through the day. The top order played in a different manner to how they played against Zimbabwe. It was good to see.""",2011,India
17,38,2011-03-19, Mirpur,League-Match,SA,BAN,284.0,8.0,78.0,0.0,South Africa won by 206 runs,Lonwabo Tsotsobe,"['JH Kallis - 69 runs ', 'F du Plessis - 52 runs ']","['RJ Peterson - 4', 'LL Tsotsobe - 3']",Please do wait for the quotes from the post-match ceremony.,2011,Bangladesh
21,46,2011-03-29, Colombo (RPS),Semi-Final,NZ,SL,217.0,0.0,220.0,5.0,Sri Lanka won by 5 wickets (with 13 balls remaining),Kumar Sangakkara,"['TM Dilshan - 73 runs ', 'SB Styris - 57 runs ']","['BAW Mendis - 3', 'TG Southee - 3']","As for the big match tomorrow, there's some bad news from Mohali. There a heavy storm there right now, hope it clears before tomorrow afternoon.",2011,Sri Lanka
22,44,2011-03-25, Mirpur,Final,NZ,SA,221.0,8.0,172.0,0.0,New Zealand won by 49 runs,Jacob Oram,"['JD Ryder - 83 runs ', 'JH Kallis - 47 runs ']","['JDP Oram - 4', 'NL McCullum - 3']","Amar: ""I will credit this win to John Wright. If NZ win the Semis too, Wright will become the first coach to take two different International sides to Finals!""",2011,Bangladesh
26,6,2011-02-24, Delhi,League-Match,WI,SA,222.0,0.0,223.0,3.0,South Africa won by 7 wickets (with 43 balls remaining),AB de Villiers,"['AB de Villiers - 107 runs ', 'DM Bravo - 73 runs ']","['Imran Tahir - 4', 'DW Steyn - 3']","Graeme Smith: (clearly nurning a sore throat of sorts) ""Winning the toss was nice, we started well. Darren Bravo played really well, but we managed to peg it back in the middle. We tried to mix it up in the middle. Once you pick a wicket, you can build pressure and we managed to pick up wickets in clusters. My batting wasn't the best - I have been a little ill coming into the game, so I just wanted to bat through with AB and build a partnership. AB went faster than run a ball and paced it real well. Long time to our next game, good vibe in the group and we will take some time off.""",2011,India
28,47,2011-03-30, Mohali,Semi-Final,IND,PAK,260.0,9.0,231.0,0.0,India won by 29 runs,Sachin Tendulkar,"['SR Tendulkar - 85 runs ', 'Misbah-ul-Haq - 56 runs ']","['Wahab Riaz - 5', 'A Nehra - 2']","""This was almost like a final, whenever India and Pakistan play each other the pressure is always doubled,"" says Harbhajan, somewhat superfluously.",2011,India
30,22,2011-03-07, Delhi,League-Match,KENYA,CAN,198.0,0.0,199.0,5.0,Canada won by 5 wickets (with 27 balls remaining),Henry Osinde,"['AS Hansra - 70 runs ', 'A Bagai - 64 runs ']","['H Osinde - 4', 'Rizwan Cheema - 2']","Bagai and Davison look relieved and happy. These two have been around long enough to know how much this matters for Canada. Their World Cup trip might be full of thumping defeats at the hands of the better sides, but they have accomplished something. They won't return empty-handed.",2011,India
31,25,2011-03-10, Pallekele,League-Match,SL,ZIM,327.0,6.0,188.0,0.0,Sri Lanka won by 139 runs,Tillakaratne Dilshan,"['TM Dilshan - 144 runs ', 'WU Tharanga - 133 runs ']","['TM Dilshan - 4', 'CB Mpofu - 4']","Sanga: ""This is where I am from, and it is a magnificent ground. We adjusted our line-up for the dew, but things were ok today. The opening stand just took it away. Dilshan has that magic touch with bat, ball and on the field. Murali is a champion, and that's why he is rated the best in the world. When the tough times come, he stands up.""",2011,Sri Lanka
